Title,Price,Product Link
"Apple MacBook Air 13.3-Inch Retina Display 8-core Apple M1 chip with 8GB RAM, 256GB SSD (MGN63) Space Gray","100,000 BDT",https://www.startech.com.bd/apple-macbook-air-13-3-inch-m1-chip-laptop-256gb-ssd
"MSI Modern 14 C12M Core i3 12th Gen 14"" FHD Laptop","58,500 BDT",https://www.startech.com.bd/msi-modern-14-c12m-core-i3-12th-gen-laptop
"Lenovo IdeaPad Flex 5 14ALC7 AMD Ryzen 5 5500U 14"" Touchscreen Laptop","93,500 BDT",https://www.startech.com.bd/lenovo-ideapad-flex-5-14alc7-amd-ryzen-5-laptop
Apple MacBook Air (2022) Apple M2 Chip 13.6-Inch Liquid Retina Display 8GB RAM 256GB SSD Space Gray #MLXW3LL/A / MLXW3ZP/A,"128,000 BDT",https://www.startech.com.bd/apple-macbook-air-2022-m2-chip-13-6-inch-space-gray
"Lenovo IdeaPad Flex 5 14ALC7 AMD Ryzen 7 5700U 14"" Touchscreen Laptop","105,000 BDT",https://www.startech.com.bd/lenovo-ideapad-flex-5-14alc7-amd-ryzen-7-laptop
"MSI Modern 15 B7M Ryzen 7 7730U 15.6"" FHD Laptop","82,000 BDT",https://www.startech.com.bd/msi-modern-15-b7m-ryzen-7-7730u-laptop
"MSI Cyborg 15 A12UDX Core i7 12th Gen RTX 3050 6GB Graphics 15.6"" FHD Gaming Laptop","140,000 BDT",https://www.startech.com.bd/msi-cyborg-15-a12udx-core-i7-gaming-laptop
"Lenovo Yoga 7 2-in-1 14AHP9 Ryzen 7 8840HS AI Integrated 14"" Touch Laptop","115,000 BDT",https://www.startech.com.bd/lenovo-yoga-7-2-in-1-14ahp9-ryzen-7-8840hs-touch-laptop
Apple MacBook Air (2022) Apple M2 Chip 13.6-Inch Liquid Retina Display 8GB RAM 256GB SSD Starlight #MLY13LL/A / MLY13ZP/A,"128,000 BDT",https://www.startech.com.bd/apple-macbook-air-2022-m2-chip-13-6-inch-starlight
"Lenovo Yoga Pro 7 14AHP9 Ryzen 7 8845HS AI Integrated RTX 3050 6GB Graphics 14.5"" Gaming Laptop","160,000 BDT",https://www.startech.com.bd/lenovo-yoga-pro-7-14ahp9-ryzen-7-8845hs-laptop
Apple MacBook Air (2022) Apple M2 Chip 13.6-Inch Liquid Retina Display 8GB RAM 256GB SSD Midnight #MLY33LL/A / MLY33ZP/A,"128,000 BDT",https://www.startech.com.bd/apple-macbook-air-2022-m2-chip-13-6-inch-midnight
"MSI Stealth 16 Studio A13VG-407BD Core i9 13th Gen RTX 4070 8GB Graphics 16"" QHD+ 120Hz Gaming Laptop","299,000 BDT",https://www.startech.com.bd/msi-stealth-16-studio-a13vg-407bd-core-i9-13th-gen-gaming-laptop
"Lenovo IdeaPad Pro 5 16AHP9 Ryzen 7 8845HS AI Integrated RTX 3050 6GB Graphics 16"" OLED Laptop","155,000 BDT",https://www.startech.com.bd/lenovo-ideapad-pro-5-16ahp9-ryzen-7-8845hs-oled-laptop
Apple MacBook Pro 13.3-Inch Retina Display M2 Chip 8GB RAM 512GB SSD Silver (MNEQ3),"179,500 BDT",https://www.startech.com.bd/apple-macbook-pro-13-inch-m2-chip-8gb-ram-512gb-ssd-silver
"Lenovo IdeaPad D330 10IGL Celeron N4020 10.1"" HD Detachable 2-in-1 Touch Laptop","27,500 BDT",https://www.startech.com.bd/lenovo-ideapad-d330-cdc-n4020-laptop
Apple MacBook Air (2022) Apple M2 Chip 13.6-Inch Liquid Retina Display 8GB RAM 512GB SSD Space Gray #MLXX3LL/A,"172,000 BDT",https://www.startech.com.bd/apple-macbook-air-2022-m2-chip-512gb-ssd-13-6-inch-space-gray
"Lenovo Legion Slim 5 16AHP9 Ryzen 7 8845HS AI Integrated RTX 4070 8GB Graphics 16"" Gaming Laptop","245,000 BDT",https://www.startech.com.bd/lenovo-legion-slim-5-16ahp9-ryzen-7-8845hs-gaming-laptop
"Lenovo IdeaPad 1 AMD Ryzen 5 7520U 14"" FHD Laptop 8GB DDR5 RAM 256GB SSD with 2 Years warranty","57,000 BDT",https://www.startech.com.bd/lenovo-ideapad-1-14amn7-amd-ryzen-5-fhd-laptop
Apple MacBook Air 13 inch M3 Chip (2024) Liquid Retina Display 8GB RAM 256GB SSD Midnight #MRXV3ZP/A,"155,000 BDT",https://www.startech.com.bd/apple-macbook-air-13-inch-m3
"Lenovo IdeaPad 1 AMD Ryzen 5 7520U 14"" FHD Laptop 8GB DDR5 RAM 256GB SSD Sand with 2 Years Warranty","57,000 BDT",https://www.startech.com.bd/lenovo-ideapad-1-14amn7-amd-ryzen-5-sand-laptop
